id,title,category,tier_num,tier_name,status,status_full,correct_answer,source_file
IM-0001,The Signal Fire,The Last Ingredient,1,SPARK,KS,Known-Solution,SIGNAL,scenarios/tier_1_spark/IM-0001.md
IM-0002,The Rising Tide,The Locked Room,1,SPARK,KS,Known-Solution,LIVE,scenarios/tier_1_spark/IM-0002.md
IM-0003,The Fabric Rope,The Wrong Toolbox,1,SPARK,KS,Known-Solution,DESCEND,scenarios/tier_1_spark/IM-0003.md
IM-0004,The Unlocked Door,The Misdirection,1,SPARK,DG,Degenerate,PUSH THE DOOR OPEN AND WALK OUT,scenarios/tier_1_spark/IM-0004.md
IM-0005,The Sawdust Bridge,The Wrong Toolbox,1,SPARK,KS,Known-Solution,"PACK SAWDUST INTO PLASTIC SHEETING TUBES TO CREATE RIGID COMPRESSION BEAMS, THEN SPAN THE GAP WITH PALLETS",scenarios/tier_1_spark/IM-0005.md
IM-0006,The Paper Prison,The Invisible Wall,1,SPARK,DG,Degenerate,PUSH THE DOOR OPEN -- IT IS CLOSED BUT NOT LOCKED,scenarios/tier_1_spark/IM-0006.md
IM-0007,The Sweet Poison,The Misdirection,1,SPARK,KS,Known-Solution,EAT NEITHER THE RED NOR THE GREEN BERRIES -- HARVEST THE CATTAILS GROWING IN THE NEARBY MARSH,scenarios/tier_1_spark/IM-0007.md
IM-0008,The Last Train,The Ticking Trade,1,SPARK,KS,Known-Solution,PARTIALLY ENGAGE THE JUNCTION SWITCH TO DERAIL THE RAILCAR INTO THE SOFT EMBANKMENT,scenarios/tier_1_spark/IM-0008.md
IM-0009,The Whistle Code,The Babel Problem,1,SPARK,KS,Known-Solution,"USE MORSE CODE TRANSMITTED VIA WHISTLE PITCHES (HIGH = DOT, LOW = DASH) TO COMMUNICATE THROUGH THE WALL",scenarios/tier_1_spark/IM-0009.md
IM-0010,The Salt Battery,The Last Ingredient,1,SPARK,KS,Known-Solution,BUILD A VOLTAIC PILE (COPPER/SALTWATER/ZINC CELLS IN SERIES) TO POWER THE EMERGENCY RADIO,scenarios/tier_1_spark/IM-0010.md
IM-0011,The Checkout Paradox,The Invisible Wall,1,SPARK,DG,Degenerate,WALK OUT THROUGH THE LOADING DOCK,scenarios/tier_1_spark/IM-0011.md
IM-0012,The Furnace Room,The Locked Room,1,SPARK,KS,Known-Solution,REMOVE THE HINGE PINS,scenarios/tier_1_spark/IM-0012.md
IM-0013,The Newspaper Shelter,The Wrong Toolbox,1,SPARK,KS,Known-Solution,BUILD INSULATED SHELTER USING NEWSPAPER INSIDE GARBAGE BAGS,scenarios/tier_1_spark/IM-0013.md
